model,accuracy,macro_precision,macro_recall,macro_f1_score,parameter_count,average_inference_time_ms,best_val_accuracy,epochs_completed
SimpleCNN,0.8729809104258444,0.8666595643165749,0.8225549065447298,0.8274650106591924,111274,0.31878806667009485,0.8711453744493393,14
FastCNN,0.9585168869309838,0.9497085105355655,0.9428542467744025,0.9450913319476332,49866,0.4873718333328725,0.9640234948604993,19
ResNet18,0.947136563876652,0.9405225524171215,0.922588068889348,0.9302900794054164,11181642,1.8200263333255862,0.9530102790014684,7
